,species,vernacularName,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,geodeticDatum,eventRemarks,locality,locationRemarks,occurrenceRemarks,stateProvince,year,month,basisOfRecord,taxonRank,taxonomicStatus
0,Plethodon chlorobryonis,,36.910264,-76.038682,43.0,WGS84,,,,,Virginia,2018.0,3.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
1,Plethodon chlorobryonis,,34.053084,-80.189935,28874.0,WGS84,,,,,South Carolina,2018.0,3.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
2,Plethodon chlorobryonis,,36.825282,-76.847973,63.0,WGS84,,,,2 individuals seen.,Virginia,2018.0,3.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
3,Plethodon chlorobryonis,,35.379628,-76.963606,142.0,WGS84,,,,,North Carolina,2018.0,4.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
4,Plethodon chlorobryonis,,36.852926,-75.977985,14564.0,WGS84,,,,,Virginia,2018.0,4.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
5,Plethodon chlorobryonis,,36.620137,-76.552483,10.0,WGS84,,,,,Virginia,2018.0,6.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
6,Plethodon chlorobryonis,,36.436583,-76.699301,199.0,WGS84,,,,,North Carolina,2018.0,11.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
7,Plethodon chlorobryonis,,34.978721,-79.136485,28748.0,WGS84,,,,"Unfortunately wouldn't sit still for a photo! On the range margins for this species complex, but according to Matthew Moskwik this is the expected species for the immediate area.",North Carolina,2017.0,1.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
8,Plethodon chlorobryonis,,34.764501,-78.737685,28790.0,WGS84,,,,,North Carolina,2017.0,4.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
9,Plethodon chlorobryonis,,36.77621,-76.160901,8.0,WGS84,,,,,Virginia,2017.0,4.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
10,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.8052,-78.331,,WGS84,,"SR 1134 (Lisbon Bridge Rd.), 1.3 rdmi. N jct. NC 903, ca. 1.7 airmi. SSE Ingold.",,Dead on road (still moving),North Carolina,2017.0,4.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
11,Plethodon chlorobryonis,,36.824608,-76.735535,,WGS84,,,,,Virginia,2017.0,4.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
12,Plethodon chlorobryonis,,34.200271,-80.177264,200.0,WGS84,,,,,South Carolina,2017.0,5.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
13,Plethodon chlorobryonis,,37.271696,-76.727738,450.0,WGS84,,,,,Virginia,2017.0,5.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
14,Plethodon chlorobryonis,,36.930333,-77.046197,,WGS84,,,,2 individuals found under pine needles.,Virginia,2017.0,5.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
15,Plethodon chlorobryonis,,36.776016,-76.161072,,WGS84,,,,,Virginia,2017.0,6.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
16,Plethodon chlorobryonis,,35.354857,-76.97176,306.0,WGS84,,,,,North Carolina,2017.0,12.0,HUMAN_OBSERVATION,SPECIES,ACCEPTED
17,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,34.6517,-78.4088,,WGS84,,"4.3 miles WNW White Lake (town), Sleepy Creek Farms, S of Bay Tree Lake",,One of two found together under logs; turkey oaks. Preserved 1 February 2016.,North Carolina,2016.0,2.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
18,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,35.283,-76.8551,,WGS84,,"4.0 miles WSW Aurora, along NC 306",,In/under rotting logs.,North Carolina,2016.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
19,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,35.5045,-78.0831,,WGS84,,"5.1 air miles ENE Princeton, along Old Kenly Road [SR 1333]",,,North Carolina,2016.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
20,Plethodon chlorobryonis,Atlantic Coast Slimy Salamander,35.283,-76.8551,,WGS84,,"4.0 miles WSW Aurora, along NC 306",,In/under rotting logs.,North Carolina,2016.0,3.0,PRESERVED_SPECIMEN,SPECIES,ACCEPTED
